Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
86	Spectrogram 1	1	703.625677237	704.297677237	1500	6500	0	0	-68.72	NA
87	Spectrogram 1	1	721.527354477	722.199354477	1500	6500	0	0	-68.76	NA
88	Spectrogram 1	1	737.167413454	737.839413454	1500	6500	0	0	-76.59	NA
89	Spectrogram 1	1	739.132731373	739.804731373	1500	6500	0	0	-77.93	NA
90	Spectrogram 1	1	755.380338972	756.052338972	1500	6500	0	0	-66.75	NA
91	Spectrogram 1	1	757.591321631	758.263321631	1500	6500	0	0	-81.89	NA
92	Spectrogram 1	1	759.831206024	760.503206024	1500	6500	0	0	-81.61	NA
93	Spectrogram 1	1	761.926582107	762.598582107	1500	6500	0	0	-78.44	NA
94	Spectrogram 1	1	763.328316211	764.000316211	1500	6500	0	0	-76.22	NA
95	Spectrogram 1	1	764.419356674	765.091356674	1500	6500	0	0	-66.07	NA
96	Spectrogram 1	1	774.823981312	775.495981312	1500	6500	0	0	-75.01	NA
97	Spectrogram 1	1	769.310975532	769.982975532	1500	6500	0	0	-79.58	NA
98	Spectrogram 1	1	778.357218667	779.029218667	1500	6500	0	0	-74.97	NA
99	Spectrogram 1	1	781.594212887	782.266212887	1500	6500	0	0	-83.65	NA
